,Unnamed: 0,tanggal,Team,position,menit,shotTotal,shotOnTarget,yellowCard,redCard,touches,press,tackle,intercept,blocks,shotCreation,goalCreation,passComplete,passAttempt,passProgresive,carries,carries>5yard,DribblesSucces,Dribbles.1,Nama,goal,Kemasukan,Minggu,homeAway,Starting 11,KlasemenTimMusuh
0,0,2021-08-14,Everton,GK,90.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,35.0,0.0,26.0,0.0,0.0,0.0,Jordan-Pickford,3,1,1,0,0.0,15
1,1,2021-08-21,Everton,GK,90.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,31.0,0.0,11.0,0.0,0.0,0.0,Jordan-Pickford,2,2,2,1,0.0,9
2,2,2021-08-28,Everton,GK,90.0,0.0,0.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,23.0,0.0,8.0,0.0,0.0,0.0,Jordan-Pickford,2,0,3,1,0.0,16
3,3,2021-09-13,Everton,GK,90.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,30.0,0.0,12.0,0.0,0.0,0.0,Jordan-Pickford,3,1,4,0,0.0,17
4,4,2021-09-25,Everton,GK,90.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,33.0,0.0,19.0,0.0,0.0,0.0,Jordan-Pickford,2,0,6,0,0.0,28
5,5,2021-10-02,Everton,GK,90.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,28.0,0.0,9.0,0.0,0.0,0.0,Jordan-Pickford,1,1,7,1,0.0,2
6,6,2021-10-17,Everton,GK,90.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,35.0,0.0,15.0,0.0,0.0,0.0,Jordan-Pickford,0,1,8,0,0.0,6
7,7,2021-10-23,Everton,GK,90.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,36.0,0.0,24.0,0.0,0.0,0.0,Jordan-Pickford,2,5,9,0,0.0,30
8,8,2021-11-01,Everton,GK,90.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,0.0,11.0,0.0,0.0,0.0,Jordan-Pickford,1,2,10,1,0.0,13
9,9,2021-11-07,Everton,GK,90.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,0.0,12.0,0.0,0.0,0.0,Jordan-Pickford,0,0,11,0,0.0,7
10,10,2021-11-21,Everton,GK,90.0,0.0,0.0,0.0,0.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,37.0,0.0,5.0,0.0,0.0,0.0,Jordan-Pickford,0,3,12,1,0.0,1
11,11,2021-11-28,Everton,GK,90.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,23.0,0.0,15.0,0.0,0.0,0.0,Jordan-Pickford,0,1,13,1,0.0,29
12,12,2021-12-01,Everton,GK,90.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,35.0,0.0,14.0,0.0,0.0,0.0,Jordan-Pickford,1,4,14,0,0.0,3
13,13,2021-12-06,Everton,GK,90.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,37.0,0.0,22.0,0.0,0.0,0.0,Jordan-Pickford,2,1,15,0,0.0,8
14,14,2021-12-12,Everton,GK,90.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,24.0,0.0,13.0,0.0,0.0,0.0,Jordan-Pickford,1,3,16,1,0.0,14
15,15,2021-12-16,Everton,GK,90.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,37.0,0.0,14.0,0.0,0.0,0.0,Jordan-Pickford,1,1,17,1,0.0,4
16,16,2022-01-02,Everton,GK,90.0,0.0,0.0,0.0,0.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,36.0,0.0,25.0,0.0,0.0,0.0,Jordan-Pickford,2,3,21,0,0.0,16
